,CreditGrade,Term,LoanStatus,ClosedDate,BorrowerAPR,BorrowerRate,LenderYield,BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,IncomeRange,IncomeVerifiable,StatedMonthlyIncome,InquiriesLast6Months,TotalInquiries,BankcardUtilization,TotalTrades,LoanOriginalAmount,MonthlyLoanPayment,DebtToIncomeRatio,LoanOriginalAmount
0,C,36,Completed,2009-08-14 00:00:00,0.16516,0.158,0.138,CO,Other,Self-employed,2.0,True,"$25,000-49,999",True,3083.333333,3.0,3.0,0.0,11.0,9425,330.43,0.17,9425
21,D,36,Completed,2010-12-12 00:00:00,0.21488000000000002,0.2075,0.1975,MI,Professional,Full-time,36.0,False,"$25,000-49,999",True,3750.0,0.0,8.0,0.08,6.0,3000,112.64,0.09,3000
46,C,36,Completed,2010-01-29 00:00:00,0.1717,0.15,0.14,IL,Accountant/CPA,Full-time,32.0,False,"$25,000-49,999",True,3166.666667,1.0,7.0,0.68,27.0,4000,138.66,0.27,4000
59,C,36,Completed,2010-09-26 00:00:00,0.16717,0.16,0.15,IL,Other,Full-time,80.0,False,"$25,000-49,999",True,2750.0,2.0,2.0,0.41,23.0,7000,244.47,0.37,7000
62,D,36,Chargedoff,2009-11-24 00:00:00,0.23748000000000002,0.23,0.21,CA,Other,Full-time,16.0,False,"$50,000-74,999",True,3891.666667,3.0,6.0,0.89,23.0,23500,909.68,0.59,23500
66,D,36,Completed,2010-04-17 00:00:00,0.16802,0.15,0.12,NE,Other,Not employed,1.0,False,Not employed,True,860.0,0.0,2.0,0.07,13.0,1000,0.0,0.2,1000
101,E,36,Chargedoff,2010-03-10 00:00:00,0.20421,0.1895,0.1795,IL,Food Service Management,Full-time,193.0,True,"$75,000-99,999",True,7416.666667,7.0,18.0,0.7,31.0,2932,107.4,0.36,2932
114,C,36,Completed,2009-10-08 00:00:00,0.16727,0.1601,0.1501,WA,Computer Programmer,Full-time,27.0,True,"$75,000-99,999",True,7083.333333,1.0,3.0,0.9,19.0,13400,471.17,0.16,13400
117,A,36,Completed,2011-03-20 00:00:00,0.10235,0.0885,0.0785,CA,Professional,Part-time,18.0,False,"$25,000-49,999",True,2500.0,1.0,1.0,0.96,10.0,2000,12.97,0.1,2000
121,B,36,Completed,2010-12-07 00:00:00,0.15428,0.14,0.13,GA,Military Officer,Full-time,180.0,True,"$75,000-99,999",True,6250.0,2.0,9.0,0.89,22.0,4000,136.71,0.31,4000
123,AA,36,Completed,2009-04-23 00:00:00,0.13223,0.1252,0.1152,NJ,Sales - Retail,Full-time,35.0,False,"$25,000-49,999",True,2293.333333,4.0,6.0,0.0,11.0,12000,401.56,0.19,12000
127,HR,36,Chargedoff,2009-02-22 00:00:00,0.29743,0.2745,0.2645,CA,Administrative Assistant,Full-time,47.0,False,"$25,000-49,999",True,2946.666667,7.0,18.0,1.31,10.0,2551,104.76,0.17,2551
132,B,36,Completed,2011-03-01 00:00:00,0.13012,0.124,0.114,MO,Military Enlisted,Full-time,117.0,True,"$25,000-49,999",True,4161.916667,0.0,3.0,0.89,14.0,8600,287.29,0.34,8600
136,C,36,Completed,2011-07-02 00:00:00,0.21679,0.1945,0.1845,CT,Sales - Commission,Full-time,33.0,False,"$25,000-49,999",True,3333.333333,5.0,8.0,0.27,18.0,3000,108.52,0.11,3000
142,B,36,Chargedoff,2008-11-23 00:00:00,0.15882000000000002,0.1445,0.1345,AZ,Analyst,Full-time,20.0,True,"$50,000-74,999",True,4750.0,2.0,24.0,0.29,10.0,2500,85.99,0.11,2500
156,B,36,Completed,2011-09-10 00:00:00,0.18454,0.17,0.16,PA,Professional,Full-time,25.0,True,"$100,000+",True,8500.0,3.0,17.0,0.52,43.0,5500,196.09,0.15,5500
164,HR,36,Completed,2008-07-03 00:00:00,0.16435999999999998,0.15,0.12,IL,Other,Full-time,44.0,False,"$50,000-74,999",True,4958.333333,3.0,11.0,0.83,9.0,2000,69.33,0.1,2000
173,AA,36,Completed,2007-09-13 00:00:00,0.10642,0.0995,0.0945,WA,Skilled Labor,Full-time,247.0,True,"$25,000-49,999",True,3616.083333,1.0,6.0,0.05,34.0,15000,483.66,0.19,15000
188,C,36,Completed,2010-09-03 00:00:00,0.19835,0.18,0.17,MN,Other,Retired,25.0,False,"$1-24,999",True,1000.0,9.0,30.0,0.64,44.0,1000,36.15,0.58,1000
201,B,36,Completed,2009-03-24 00:00:00,0.15713,0.15,0.14,CA,Other,Self-employed,32.0,False,"$100,000+",True,6666.666667,5.0,6.0,0.36,14.0,20000,693.31,0.14,20000
210,C,36,Completed,2010-07-20 00:00:00,0.16607,0.1589,0.1489,GA,Analyst,Full-time,24.0,True,"$50,000-74,999",True,5438.333333,4.0,7.0,0.95,24.0,8000,280.82,0.23,8000
213,AA,36,Defaulted,2009-01-29 00:00:00,0.16184,0.1499,0.1449,AZ,Sales - Commission,Full-time,24.0,True,"$25,000-49,999",True,3166.666667,1.0,3.0,0.64,46.0,1500,51.99,0.32,1500
220,E,36,Defaulted,2008-08-12 00:00:00,0.30564,0.29,0.26,TX,Police Officer/Correction Officer,Full-time,27.0,False,"$25,000-49,999",True,3744.333333,7.0,15.0,0.77,12.0,4000,167.62,0.13,4000
